"Country","name","address","description","start_date","Position"
"Namibia",NA,NA,NA,NA,0
"Nauru",NA,NA,NA,NA,0
"Nepal",NA,NA,NA,NA,0
"Netherlands","Data overheid - Overheid.nl","https://data.overheid.nl/","Totaal aantal datasets beschikbaar op data.overheid.nl: 10317 Laatst ... Kijk in de 
handreiking open data voor meer informatie over het openen van data van uw ...",2010-12-01,1
"New Zealand","Home » Data.govt.nz","https://data.govt.nz/","data.govt.nz provides access to data from New Zealand government agencies ... 
Alexander Turnbull Library Names · New Zealand Vehicle Fleet Open Data sets ...",2010-05-01,1
"Nicaragua",NA,NA,NA,NA,0
"Niger",NA,NA,NA,NA,0
"Nigeria",NA,NA,NA,NA,0
"Norway","data.norge.no | Åpne offentlige data i Norge - Difi","https://data.norge.no/","Les mer om data.norge.no .... ODINE (Open Data Incubator Europe) tilbyr små- 
og mellomstore bedrifter inntil €100 000 for å realisere sine opne data-idéer.",2010-04-01,1
"Oman","Official statistics about Oman","http://www.data.gov.om/","This Portal provides official statistics about Oman for different time series. ... The 
data portal consolidates data of National Center for Statistics and Information, ...",2015-07-01,3
"Pakistan","Pakistan Data Portal","http://data.org.pk/","Pakistan District Education Rankings is an annu . ... Pakistan Data Portal (PDP) is 
one the advanced open data portals of world having 4 star rating according to ...",2014-10-01,1
"Palau",NA,NA,NA,NA,0
"Panama","Panama Open Data Portal: Bienvenida","http://www.datosabiertos.gob.pa/","Agropecuario y Pesca. Ambiente. comercio-e-industrias. Comercio e Industrias. 
educacion. Educación. Justicia. landuse. Ordenamiento Territorial. municipios ...",2016-06-01,2
"Papua New Guinea",NA,NA,NA,NA,0
"Paraguay","opendata | Datos Abiertos del Paraguay - Datos.org.py","http://datos.org.py/etiquetas/opendata","opendata ... Publicado por admin el 18 Mayo , 2015. La comunidad de dateros 
en Paraguay está creciendo. imagen_destacada: tags: dateros · opendata.",2017-01-01,3
"Peru",NA,NA,NA,NA,0
"Philippines","Open Data Philippines","http://data.gov.ph/","Harmonizing Government Data Disclosure through Open Data and the FOI. Nov 
11, 2016 admin. The Open Data Philippines and the new Freedom of ...",2012-10-01,1
"Poland",NA,NA,NA,NA,0
"Portugal","o portal Dados.Gov","http://www.dados.gov.pt/","Relatório publicado pelo Center for Open Data Enterprise propõe ideias para 
melhorar os dados abertos no governo federal dos EUA, com base na perspetiva
 ...",2011-11-01,2
"Qatar",NA,NA,NA,NA,0
"South Korea","Open Data Portal - 공공데이터포털","https://www.data.go.kr/e_main.jsp","Open Status. 2017-03-19; OPEN AGENCY : Loading; FILE DATA : 19,682; OPEN 
API : 2,225; STD DATA : 34. 공공데이터 품질관리 · 빅데이터 · kosis 국가통계 ...",2015-01-01,1
"Republic of Moldova",NA,NA,NA,NA,0
"Romania","data.gov.ro: Bun venit","http://data.gov.ro/","data.gov.ro este punctul central de acces pentru seturile de date deschise livrate 
de autoritățile și instituțiile administrației publice, ajutând publicul să ...",2013-09-01,1
"Russian Federation","OPEN DATA RUSSIA: data.gov.ru","http://data.gov.ru/?language=en","Добро пожаловать на Портал открытых данных Российской Федерации! 
Наш гид поможет вам ознакомиться с особенностями Портала и быстрее ...",2016-04-01,1
"Rwanda",NA,NA,NA,NA,0
"Saint Kitts and Nevis",NA,NA,NA,NA,0
"Saint Lucia","St Lucia Open Data Portal","http://data.govt.lc/","Search for datasets directly from the homepage or by navigating to the Datasets 
search page where you can facet by tags, groups and format. DKANs data ...",2015-09-01,1
"Saint Vincent and the Grenadines",NA,NA,NA,NA,0
"Samoa",NA,NA,NA,NA,0
"San Marino",NA,NA,NA,NA,0
"Sao Tome and Principe",NA,NA,NA,NA,0
"Saudi Arabia","Saudi Open Data","http://www.data.gov.sa/en","Welcome to Saudi Government Open Data portal. We proactively disclose 
government information and make it available online for everyone to access, 
reuse ...",2016-09-01,1
"Senegal",NA,NA,NA,NA,0
"Serbia",NA,NA,NA,NA,0
"Seychelles",NA,NA,NA,NA,0
"Sierra Leone",NA,NA,NA,NA,0
"Singapore","Data.gov.sg","https://data.gov.sg/","Singapore's open data portal. ... Singapore Residents By Gender, End June, 
Annual - Data. Data Not Available Loading... Total Male Residents. 1,929,526.",2011-05-01,1
"Slovakia","data.gov.sk: Vitajte","https://data.gov.sk/","... vecí verejných cez zvyšovanie transparentnosti, efektivity a zodpovednosti. 
data.gov.sk je katalóg obsahujúci rôzne datasety od povinných osôb v SR.",2012-03-01,1
"Slovenia","Open Data Slovenija - odprti podatki v Sloveniji","https://opendata.si/","Open data mednarodni projekt je izvedba ideje, da smo za določen sklop 
podatkov lastniki vsi prebivalci države in so posledično podatki skupno dobro, ter 
zato ...",2011-12-01,5
"Solomon Islands",NA,NA,NA,NA,0
"Somalia",NA,NA,NA,NA,0
"South Africa","Home | South Africa National Data Portal","http://data.gov.za/","South African National Open Data Portal. ... Trade Lead Bulletins, 2015-10-21. 
Statistics South Africa - Person 10% Sample, 2015-10-18. Statistics South Africa
 ...",2016-11-01,4
"South Sudan",NA,NA,NA,NA,0
"Spain",NA,NA,NA,NA,0
"Sri Lanka","Sri Lanka Open Data Portal: Welcome","https://www.data.gov.lk/","Open Data initiative of Government of Sri Lanka. datasets ... There are 9 
government organizations with 89 datasets to publish their open data to 
community ...",2015-02-01,1
"Sudan",NA,NA,NA,NA,0
"Suriname",NA,NA,NA,NA,0
"Swaziland",NA,NA,NA,NA,0
"Sweden","Välkommen - CKAN","http://oppnadata.se/","GTFS Sverige 2. GTFS data of all the planned public transport in Sweden. XML · 
JSON ... Har din myndighet eller kommun öppna data? På denna kurs lär du dig
 ...",2012-10-01,2
"Switzerland","opendata.swiss","https://opendata.swiss/en/","opendata.swiss is the portal for Swiss open government data (OGD). ... you like to 
publish freely available data from your organization on opendata.swiss?",2016-03-01,1
"Syrian Arab Republic",NA,NA,NA,NA,0
"Tajikistan",NA,NA,NA,NA,0
"Thailand","Government Open Data of Thailand","https://data.go.th/default.aspx","Thailand is ranked #42 in the 2015 Index (up from #59 in 2014) · Thailand is ... 
ประกาศผลการแข่งขัน Open Data Cross Countries Hackathon. 13 สิงหาคม 2559.",2014-10-01,1
"Timor-Leste",NA,NA,NA,NA,0
"Togo",NA,NA,NA,NA,0
"Tonga",NA,NA,NA,NA,0
"Trinidad and Tobago","data.gov.tt: Welcome","http://data.gov.tt/","Trinidad and Tobago Open Data Portal. DATA.GOV.TT. The Government of the 
Republic of Trinidad and Tobago has a strong high-level commitment to Open ...",2016-03-01,8
"Tunisia","مرحبا بكم بموقع البيانات المفتوحة","http://www.data.gov.tn/","موقع البيانات المفتوحة.www.data.gov.tn. ... مواقع البيانات المفتوحة. opendata.
interieur.gov.tn · www.cnam.nat.tn · www.cnrps.nat.tn · www.defense.tn · www.
mes.",2012-08-01,1
"Turkey",NA,NA,NA,NA,0
"Turkmenistan",NA,NA,NA,NA,0
"Tuvalu",NA,NA,NA,NA,0
"Uganda",NA,NA,NA,NA,0
"Ukraine",NA,NA,NA,NA,0
"United Arab Emirates","Home - United Arab Emirates Data Portal","http://opendata.fcsa.gov.ae/","United Arab Emirates Data Portal. ... GDP per capita. thousands of US$. United 
Arab Emirates 0 50 100 2004 2008 2012 ...",2016-01-01,2
"United Kingdom of Great Britain and Northern Ireland","Data.gov.uk","https://data.gov.uk/","Aims to promote innovation though encouraging the use and re-use of 
government data-sets. Includes a directory of data available and of applications 
making ...",2009-07-01,3
"United Republic of Tanzania",NA,NA,NA,NA,0
"United States of America","Data.gov","https://www.data.gov/","The home of the U.S. Government's open data. Here you will find data, tools, ... 
By the numbers: port statistics for some of the largest U.S. ports. As intermodal ...",2009-04-01,1
"Uruguay","datos.gub.uy | Portal del Estado Uruguayo","http://datos.gub.uy/","Datos abiertos sobre Uruguay. Fuente: datos.bancomundial.org · Datos sobre 
indicadores del desarrollo mundial, proyectos y operaciones, finanzas, 
encuestas ...",2011-01-01,1
"Uzbekistan",NA,NA,NA,NA,0
"Vanuatu",NA,NA,NA,NA,0
"Venezuela",NA,NA,NA,NA,0
"Vietnam",NA,NA,NA,NA,0
"Yemen",NA,NA,NA,NA,0
"Zambia",NA,NA,NA,NA,0
"Zimbabwe",NA,NA,NA,NA,0
